#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   1.05542    -14.854595    -14.882007
   1.08646    -14.844057    -14.871939
   1.11750    -14.836447    -14.864670
   1.14854    -14.831854    -14.860293
   1.17959    -14.830685    -14.859230
   1.17959    -14.830685    -14.859230
   1.18683    -14.830685    -14.859229
   1.19408    -14.830684    -14.859228
   1.20133    -14.830683    -14.859227
   1.20857    -14.830682    -14.859227
   1.21582    -14.830681    -14.859226
   1.22306    -14.830685    -14.859229
   1.23031    -14.830685    -14.859229
   1.23756    -14.830684    -14.859228
   1.24480    -14.830685    -14.859230
   1.25205    -14.830686    -14.859230
   1.25929    -14.830686    -14.859231
   1.26654    -14.830686    -14.859231
   1.27379    -14.830686    -14.859230
   1.28103    -14.830686    -14.859230
   1.28828    -14.830685    -14.859230
   1.29553    -14.830684    -14.859228
   1.30277    -14.830684    -14.859229
   1.31002    -14.830684    -14.859228
   1.31726    -14.830685    -14.859230
   1.31726    -14.876278    -14.904947
   1.37153    -14.879298    -14.907960
   1.42579    -14.887548    -14.916203
   1.48005    -14.898813    -14.927494
   1.53432    -14.910116    -14.938865
   1.58858    -14.918679    -14.947509
   1.64284    -14.922798    -14.951675
   1.69711    -14.922127    -14.951001
   1.75137    -14.917333    -14.946166
   1.80563    -14.909507    -14.938271
   1.85990    -14.899798    -14.928462
   1.91416    -14.889295    -14.917806
   1.96842    -14.879128    -14.907380
   2.02269    -14.871166    -14.898989
   2.07695    -14.870335    -14.898322
   2.13121    -14.877248    -14.906097
   2.18547    -14.870395    -14.897061
   2.23974    -14.848488    -14.876147
   2.29400    -14.834899    -14.863169
   2.34826    -14.830685    -14.859230
   2.34826    -14.830685    -14.859230
   2.38014    -14.831854    -14.860293
   2.41201    -14.836447    -14.864671
   2.44389    -14.844058    -14.871941
   2.47576    -14.854598    -14.882011
   2.50764    -14.867950    -14.894768
   2.53951    -14.881515    -14.910031
   2.57139    -14.876775    -14.905629
   2.60326    -14.872002    -14.900432
   2.63513    -14.868018    -14.895936
   2.66701    -14.865969    -14.893594
