kpoint_index,kpoint_label,kpoint_distance,band_index,energy_eV,spin
4,,0.1241635312093748,28,-5.0335,1
4,,0.1241635312093748,29,-4.919,1
4,,0.1241635312093748,30,-4.9051,1
4,,0.1241635312093748,31,-3.2315,1
4,,0.1241635312093748,32,-3.2252,1
4,,0.1241635312093748,33,-2.9832,1
4,,0.1241635312093748,34,-2.9458,1
4,,0.1241635312093748,35,1.0395,1
4,,0.1241635312093748,36,1.6404,1
4,,0.1241635312093748,37,2.0848,1
4,,0.1241635312093748,38,2.6441,1
4,,0.1241635312093748,39,2.7859,1
4,,0.1241635312093748,40,2.9875,1
4,,0.1241635312093748,41,3.0609,1
4,,0.1241635312093748,42,4.0815,1
4,,0.1241635312093748,1,-19.8997,-1
4,,0.1241635312093748,2,-19.1216,-1
4,,0.1241635312093748,3,-19.0846,-1
4,,0.1241635312093748,4,-19.0663,-1
4,,0.1241635312093748,5,-18.9135,-1
4,,0.1241635312093748,6,-18.9128,-1
4,,0.1241635312093748,7,-9.4391,-1
4,,0.1241635312093748,8,-8.9177,-1
4,,0.1241635312093748,9,-8.5648,-1
4,,0.1241635312093748,10,-8.5014,-1
4,,0.1241635312093748,11,-8.4671,-1
4,,0.1241635312093748,12,-8.4119,-1
4,,0.1241635312093748,13,-8.1637,-1
4,,0.1241635312093748,14,-7.9135,-1
4,,0.1241635312093748,15,-7.8837,-1
4,,0.1241635312093748,16,-7.2445,-1
4,,0.1241635312093748,17,-7.1395,-1
4,,0.1241635312093748,18,-7.1041,-1
4,,0.1241635312093748,19,-6.6524,-1
4,,0.1241635312093748,20,-6.4571,-1
4,,0.1241635312093748,21,-6.2425,-1
4,,0.1241635312093748,22,-6.186,-1
4,,0.1241635312093748,23,-6.1684,-1
4,,0.1241635312093748,24,-6.0849,-1
4,,0.1241635312093748,25,-2.6167,-1
4,,0.1241635312093748,26,-2.5184,-1
4,,0.1241635312093748,27,-2.4854,-1
4,,0.1241635312093748,28,-2.4299,-1
